0000000001,0000000000,093087,-14124,-79613,-12129,058756,042398,-99920
0000000002,0000001250,068244,028812,-97739,-23093,023236,072299,-96432
0000000003,0000002500,039939,060454,-99981,026810,-16920,093872,-76249
0000000004,0000003750,-03706,088571,-86463,-99998,-53427,099998,-48664
0000000005,0000005000,-36927,099682,-61763,034089,-82652,090566,-07851
0000000006,0000006250,-73109,096653,-24305,-79150,-98708,068974,027434
0000000007,0000007500,-91596,080673,012709,054710,-99998,033929,065023
0000000008,0000008750,-99873,048114,051871,-43908,-86169,-02442,087584
0000000009,0000010000,-93128,014076,079506,-22429,-58611,-42460,099882
0000000010,0000011250,-68296,-28828,097668,-04900,-23218,-72365,096295
0000000011,0000012500,-39691,-60286,099871,-30154,017121,-93994,076108
0000000012,0000013750,003701,-88300,086313,089555,053452,-99998,048574
0000000013,0000015000,036801,-99626,061761,-58367,082768,-90513,007734
0000000014,0000016250,072984,-96470,024240,058400,098826,-69038,-27551
0000000015,0000017500,091595,-80491,-12837,-72051,099997,-33992,-65140
0000000016,0000018750,099998,-47806,-51872,040509,086285,002378,-87585
0000000017,0000020000,093065,-13957,-79508,005127,058609,042513,-99883
0000000018,0000021250,068170,028884,-97669,-19379,023217,072417,-96296
0000000019,0000022500,039754,060720,-99872,037181,-17123,094046,-76108
0000000020,0000023750,-03764,088608,-86251,-89503,-53453,099935,-48574
0000000021,0000025000,-36926,099619,-61637,034110,-82770,090450,-07619
0000000022,0000026250,-73110,096589,-24115,-75711,-98708,068858,027550
0000000023,0000027500,-91595,080673,012836,058245,-99998,033813,065140
0000000024,0000028750,-99998,047924,051997,-54405,-86169,-02557,087584
0000000025,0000030000,-93002,014077,079696,-04982,-58494,-42577,099882
0000000026,0000031250,-68171,-28829,097668,001979,-23099,-72365,096295
0000000027,0000032500,-39691,-60411,099871,-37036,017238,-94110,075991
0000000028,0000033750,003826,-88428,086250,082526,053570,-99998,048458
0000000029,0000035000,036865,-99499,061509,-58262,082886,-90513,007502
0000000030,0000036250,072983,-96471,024051,047855,098825,-68921,-27666
0000000031,0000037500,091784,-80174,-13027,-54571,099997,-33761,-65373
0000000032,0000038750,099872,-47680,-52187,026541,086168,002610,-87701
0000000033,0000040000,093003,-13831,-79698,-05277,058492,042628,-99883
