Id,Creation Time,Owner,my_params/Activation Function 1D,my_params/Activation Function Dense,my_params/Dense,my_params/Dropuot,my_params/epoch,my_params/filter,my_params/kernel,my_params/pool_size,report_testing/categorical_accuracy (last),report_testing/loss (last),report_testing/precision (last),report_testing/recall (last),report_validate/accuracy_score (last),report_validate/balanced_accuracy_score (last),report_validate/categorical_accuracy (last),report_validate/f1_score_macro (last),report_validate/f1_score_micro (last),report_validate/f1_score_weighted (last),report_validate/loss (last),report_validate/precision (last),report_validate/precision_score_macro (last),report_validate/precision_score_micro (last),report_validate/precision_score_weighted (last),report_validate/recall (last),report_validate/recall_score_macro (last),report_validate/recall_score_micro (last),report_validate/recall_score_weighted (last),report_validate/val_categorical_accuracy (last),report_validate/val_loss (last),report_validate/val_precision (last),report_validate/val_recall (last),time/Evaluation Time,time/Train Time
CNN-106,2021-06-30 11:31:00,muflihnurfaizi,relu,relu,128,0.5,500,32,11,2,0.9927127361297607,0.021699700504541397,0.9957994222640991,0.9901799559593201,1.0,1.0,0.9927053451538086,1.0,1.0,1.0,5.808997229905799E-6,0.9957950711250305,1.0,1.0,1.0,0.9901700019836426,1.0,1.0,1.0,0.9927111268043518,0.026143617928028107,0.9957985281944275,0.9901777505874634,0.41,270.38
CNN-105,2021-06-30 10:56:11,muflihnurfaizi,relu,relu,128,0.5,500,32,7,2,0.9902688264846802,0.2691664397716522,0.9931436777114868,0.9879804253578186,1.0,1.0,0.9902811646461487,1.0,1.0,1.0,6.759181360393995E-6,0.9931589961051941,1.0,1.0,1.0,0.9879905581474304,1.0,1.0,1.0,0.9902889132499695,0.023619884625077248,0.9931644797325134,0.9879999756813049,0.45,278.44
CNN-104,2021-06-30 10:32:35,muflihnurfaizi,relu,relu,128,0.5,500,32,5,2,0.9719617962837219,0.29310062527656555,0.9747754335403442,0.9693179130554199,0.9130434782608695,0.8666666666666667,0.9720000624656677,0.861111111111111,0.9130434782608695,0.9094202898550724,4.688209173764335E-6,0.9748167991638184,0.9047619047619048,0.9130434782608695,0.9378881987577641,0.9693534970283508,0.8666666666666667,0.9130434782608695,0.9130434782608695,0.9719777703285217,0.3011932075023651,0.9747921824455261,0.9693333506584167,0.41,341.66
CNN-103,2021-06-30 09:50:40,muflihnurfaizi,relu,relu,128,0.5,500,32,3,2,0.9585203528404236,0.11105497926473618,0.9624001383781433,0.9553654789924622,0.8695652173913043,0.841025641025641,0.9585671424865723,0.8264102564102563,0.8695652173913043,0.872876254180602,2.1714802642236464E-5,0.9624512791633606,0.875,0.8695652173913043,0.9184782608695652,0.9554091095924377,0.841025641025641,0.8695652173913043,0.8695652173913043,0.9585333466529846,0.34942129254341125,0.9624140858650208,0.9553777575492859,0.47,285.93
CNN-102,2021-06-30 07:54:28,muflihnurfaizi,relu,relu,128,0.5,500,32,2,2,0.9682959318161011,0.18085910379886627,0.9707222580909729,0.9657187461853027,0.9130434782608695,0.9076923076923077,0.968330442905426,0.8896969696969698,0.9130434782608695,0.9141501976284584,2.1468851628014818E-5,0.970759391784668,0.8777777777777779,0.9130434782608695,0.9202898550724639,0.9657506346702576,0.9076923076923077,0.9130434782608695,0.9130434782608695,0.9683111310005188,0.22665856778621674,0.9707380533218384,0.9657333493232727,0.66,278.07
CNN-101,2021-06-29 18:02:23,muflihnurfaizi,relu,relu,128,0.5,10,16,3,2,0.6373626589775085,0.5167710185050964,0.7373188138008118,0.4472527503967285,0.8260869565217391,0.7743589743589744,0.6273923516273499,0.7485714285714287,0.8260869565217391,0.8221118012422362,0.6414495706558228,0.7279813289642334,0.8518518518518517,0.8260869565217391,0.9033816425120773,0.43146416544914246,0.7743589743589744,0.8260869565217391,0.8260869565217391,0.6355555653572083,0.5545608401298523,0.7348066568374634,0.44333332777023315,0.67,22.18
CNN-100,2021-06-29 16:13:44,muflihnurfaizi,relu,relu,128,0.5,100,16,3,2,0.9227524995803833,0.13573136925697327,0.9427053332328796,0.9057713747024536,0.9565217391304348,0.9743589743589745,0.9225818514823914,0.9563636363636364,0.9565217391304348,0.9576284584980236,0.004023732151836157,0.9426335692405701,0.9444444444444445,0.9565217391304348,0.963768115942029,0.9055141806602478,0.9743589743589745,0.9565217391304348,0.9565217391304348,0.9227777719497681,0.11302908509969711,0.9427546858787537,0.9057777523994446,0.68,65.64
CNN-99,2021-06-29 14:50:44,muflihnurfaizi,relu,relu,128,0.5,1000,16,3,2,0.975536048412323,0.26095303893089294,0.9788556694984436,0.9725808501243591,0.9130434782608695,0.8666666666666667,0.9755570292472839,0.861111111111111,0.9130434782608695,0.9094202898550724,1.9228626115364023E-5,0.9788784384727478,0.9047619047619048,0.9130434782608695,0.9378881987577641,0.9726002216339111,0.8666666666666667,0.9130434782608695,0.9130434782608695,0.9755444526672363,0.08839816600084305,0.9788644909858704,0.9725888967514038,0.45,518.18
CNN-98,2021-06-29 14:41:43,muflihnurfaizi,relu,relu,128,0.5,10,256,3,2,0.704395592212677,0.2188214361667633,0.7954220175743103,0.6109890341758728,1.0,1.0,0.6898289322853088,1.0,1.0,1.0,0.10119184106588364,0.7831875681877136,1.0,1.0,1.0,0.5937685370445251,1.0,1.0,1.0,0.7022222280502319,0.13127681612968445,0.793904185295105,0.6077777743339539,0.45,37.11
CNN-97,2021-06-29 14:27:36,muflihnurfaizi,relu,relu,128,0.5,100,256,3,2,0.9668146371841431,0.5726054906845093,0.9796289801597595,0.9553828835487366,1.0,1.0,0.9668685793876648,1.0,1.0,1.0,9.148710887529887E-6,0.9797512888908386,1.0,1.0,1.0,0.9553785920143127,1.0,1.0,1.0,0.9670000076293945,0.05205896496772766,0.9798336625099182,0.9555555582046509,0.66,107.63
